"rowid","lat","long"
1,34.1366038428674,102.048584808591
2,40.6732725952279,104.24082772075
3,37.6479820811125,-103.779584557578
4,44.6246596616312,-100.732044378107
5,38.3866286183599,-99.2121904969849
6,42.8748805247162,-100.63641824378
7,34.5589852607996,-99.3417152168485
8,36.4178097220028,-98.7427546955569
9,30.7082788134095,-100.833614292837
10,36.4396672687548,-98.6144968708779
11,45.0538956754039,-100.276655066326
12,33.2731063428156,-95.5906038481156
13,31.8337408385798,-99.0205255215922
14,42.2810970906805,-95.9923477776941
15,36.3444030948269,-97.7609929057495
16,51.7896214306492,-97.3006748665553
17,40.5467846989285,-99.8231081137124
18,50.5887867135988,-101.286919366892
19,45.5906367368744,-100.096698063345
20,39.5036198530163,-97.1534399060673
21,44.1273847068978,-104.822645836022
22,44.5154054926014,-104.834211093929
23,44.052924903619,-100.80296253972
24,50.6911397821171,-102.773804741633
25,43.2417407946589,-101.243847627433
26,40.9930338381456,-101.770712753373
27,39.2289699350463,-100.569516686762
28,35.2128355730721,-94.6715148366506
29,44.0605877572965,-97.8023124767081
30,35.8022652452063,-99.5829839447944
31,30.0796968355076,-101.016119369585
32,32.230428189325,-104.081674717308
33,40.5107152871278,-97.7985245714482
34,34.9057213362156,-100.864475726898
35,32.9129848396871,-101.672404671696
36,29.023374508309,-100.664381148338
37,45.3305569865379,-96.7334516906146
38,42.614813492317,-100.383410643001
39,44.0920099874947,-100.094421855596
40,31.2847737326172,-105.816490463719
